Job Title,Digital Work,Routine Work,Cognitive/ Innovation Work,Interpersonal Work,Management Work,Education Level,2 Digit NAICS Industy
Sheet Rock Applier,5%,70%,10%,15%,0%,Highschool,23
Sheet Rock Hanger,5%,70%,10%,10%,5%,Highschool,23
Sheet Rock Installation Helper,5%,70%,10%,15%,0%,Highschool,23
Sheet Rock Installer,5%,70%,10%,15%,0%,Highschool,23
Sheet Rock Taper,5%,70%,10%,10%,5%,Highschool,23
Sheet Rock Taper Helper,5%,70%,10%,10%,5%,Highschool,23
Sheet Rock Worker,5%,70%,10%,15%,0%,Highschool,23
Shellfish Dredge Operator,5%,70%,10%,10%,5%,Highschool,11
Shill,20%,60%,10%,10%,0%,None,71
Shingles Roofer,5%,70%,15%,10%,5%,Highschool,23
Shingles Roofer Helper,5%,70%,10%,10%,5%,Highschool,23
Ship Harbor Pilot,10%,40%,30%,20%,0%,Professional Certificate,48
Ship Painter Helper,5%,70%,10%,15%,0%,Highschool,33
Shipping and Receiving Clerk,30%,50%,10%,10%,0%,Highschool,48
Shipping and Receiving Material Handler,10%,70%,10%,5%,5%,Highschool,48
Shipping Order Clerk,40%,40%,10%,10%,0%,Highschool,48
Ships Equipment Engineer,20%,30%,30%,10%,10%,Bachelors,33
Shock-Absorption Floor Layer,5%,70%,15%,10%,0%,Highschool,23
Shoe Salesperson,10%,60%,10%,20%,0%,Highschool,45
Short Order Fry Cook,5%,80%,5%,10%,0%,Highschool,72
Short Story Writer,40%,20%,70%,10%,5%,Bachelors,71
Shrimp Pond Laborer,5%,80%,5%,10%,0%,None,11
Shrub Planter,5%,70%,10%,10%,5%,None,11
Sign Painter,10%,60%,20%,10%,0%,Highschool,23
Signs and Displays Salesperson,30%,40%,20%,70%,10%,Highschool,44
Silversmith,10%,60%,20%,10%,5%,Professional Certificate,33
Silver Solderer,5%,70%,15%,5%,5%,Highschool,33
Silviculture Professor,30%,20%,40%,10%,20%,PhD,61
Skating Rink Manager,20%,30%,20%,20%,10%,Highschool,71
Sketch Artist,40%,30%,20%,10%,0%,Associates,71
Skiagrapher,20%,40%,20%,20%,0%,Professional Certificate,62
Ski Coach,5%,30%,20%,40%,5%,Highschool,71
Skin Care Instructor,20%,30%,20%,30%,10%,Professional Certificate,61
Skincare specialists,10%,60%,10%,20%,5%,Professional Certificate,81
Skin Care Technician,10%,60%,10%,20%,0%,Professional Certificate,81
Skip Tracer,60%,30%,40%,20%,10%,Highschool,56
Ski Resort Manager,30%,20%,20%,20%,10%,Bachelors,71
Slate Roofer,5%,70%,15%,10%,0%,Highschool,23
Slate Roofer Helper,5%,70%,10%,10%,5%,None,23
Slot Floor Supervisor,20%,40%,10%,20%,10%,Highschool,71
Slot Host,10%,40%,10%,35%,5%,Highschool,71
Slot Key Person,10%,60%,10%,20%,0%,Highschool,71
Slot Operations Director,30%,20%,20%,20%,10%,Bachelors,71
Slot Shift Manager,20%,40%,10%,20%,10%,Associates,71
Slots Manager,30%,40%,10%,20%,50%,Associates,71
Small Animal Veterinarian,10%,30%,40%,20%,5%,Doctorate,54
Small engine mechanics,10%,60%,20%,10%,5%,Professional Certificate,81
Small Package and Bundle Sorter Clerk,10%,70%,10%,5%,5%,Highschool,49
Smelter Operator,10%,60%,10%,10%,10%,Highschool,33
Smokehouse Worker,5%,70%,10%,10%,5%,Highschool,31
Smoke Jumper,5%,30%,40%,15%,10%,Associates,11
Snack Bar Attendant,5%,70%,10%,15%,0%,Highschool,72
Snack Bar Cashier,10%,70%,5%,15%,0%,None,72
Snack Bar Cook,5%,70%,10%,15%,0%,None,72
Snowblower Mechanic,5%,70%,15%,5%,5%,Professional Certificate,81
Snowboard Designer,30%,20%,40%,5%,5%,Bachelors,33
Snowmobile Mechanic,5%,70%,20%,5%,0%,Professional Certificate,81
Social and community service managers,30%,20%,25%,60%,40%,Bachelors,62
Social and human service assistants,20%,30%,20%,60%,10%,Associates,62
Social Economist,40%,20%,30%,60%,20%,Masters,54
Social Organization Professor,20%,10%,40%,20%,10%,PhD,61
Social Psychologist,20%,10%,50%,20%,0%,PhD,62
Social Science Professor,30%,20%,30%,15%,5%,PhD,61
Social Security Benefits Interviewer,40%,30%,20%,70%,10%,Associates,92
Social Service Director,30%,20%,25%,40%,35%,Masters,62
Social Services Director,30%,20%,25%,40%,35%,Masters,62
Social Work Assistant,20%,30%,20%,30%,10%,Associates,62
Social workers,30%,20%,25%,50%,10%,Masters,62
Social Work Professor,20%,10%,40%,30%,10%,PhD,61
Society Reporter,40%,20%,20%,20%,0%,Bachelors,51
Sociocultural Anthropology Professor,20%,10%,50%,15%,5%,PhD,61
Sociologists,30%,20%,40%,40%,10%,PhD,54
Sod Layer,5%,80%,5%,10%,0%,None,23
Soft Shoe Dancer,5%,40%,30%,25%,0%,Highschool,71
Software Applications Architect,90%,10%,70%,20%,10%,Masters,54
Software Applications Designer,90%,10%,70%,20%,10%,Bachelors,54
Software Applications Engineer,90%,30%,60%,20%,10%,Bachelors,54
"Software developers, quality assurance analysts, and testers",90%,40%,60%,20%,10%,Bachelors,54
Software Engineer,90%,30%,60%,20%,10%,Bachelors,54
Software Quality Assurance Technician,80%,50%,40%,20%,10%,Bachelors,54
Software Quality Control Specialist,80%,40%,50%,20%,10%,Bachelors,54
Software Quality Engineer,80%,20%,60%,20%,10%,Bachelors,54
Software Systems Engineer,90%,30%,60%,20%,10%,Bachelors,54
Software Test Engineer,90%,40%,40%,20%,10%,Bachelors,54
Soil Conservationist,20%,30%,30%,10%,10%,Bachelors,11
Soil Engineer,20%,30%,30%,10%,10%,Bachelors,54
Soil Fertility Extension Specialist,20%,20%,30%,20%,10%,Masters,11
Soil Scientist,20%,30%,40%,5%,5%,Masters,54
Solar Astronomer,40%,20%,30%,5%,5%,PhD,54
Solar Photovoltaic Electrician,20%,40%,20%,10%,10%,Professional Certificate,23
Solar photovoltaic installers,10%,60%,20%,10%,5%,Professional Certificate,23
Solar PV Installer,10%,60%,20%,10%,0%,Professional Certificate,23
Solar Thermal Installer,10%,60%,20%,10%,5%,Professional Certificate,23
Soldering Machine Operator,10%,70%,10%,5%,5%,Highschool,33
Soldering Machine Setter and Setup Operator,10%,70%,10%,5%,5%,Highschool,33
Soldering Machine Tender,10%,70%,10%,5%,5%,Highschool,33
Solid Waste Collector,5%,80%,5%,10%,0%,Highschool,56
Soloist,10%,30%,40%,20%,0%,Professional Certificate,71
Song Lyricist,20%,10%,60%,10%,0%,None,71
Songwriter,30%,20%,40%,10%,0%,Professional Certificate,71
Sonographer,30%,40%,20%,10%,0%,Associates,62
Sound Assistant,20%,40%,20%,20%,0%,Associates,51
Sound Cutter,70%,20%,10%,0%,0%,Professional Certificate,51
Sound Designer,70%,10%,60%,20%,5%,Bachelors,51
Sound Editor,90%,30%,60%,10%,5%,Bachelors,51
Sound Effects Technician,70%,20%,60%,30%,10%,Associates,51
Sourcing Manager,40%,20%,20%,10%,10%,Bachelors,42
Sous Chef,5%,40%,25%,20%,10%,Professional Certificate,72
South Asian History Professor,20%,10%,50%,15%,5%,PhD,61
Space Scientist,40%,10%,40%,5%,5%,PhD,54
Spanish Literature Professor,20%,20%,40%,20%,10%,PhD,61
Spanish Tutor,10%,40%,30%,20%,0%,Bachelors,61
Spark Plug Tester,5%,70%,15%,5%,5%,Highschool,33
Special Education Aide,10%,40%,20%,30%,0%,Associates,61
Special Education Bus Driver,5%,70%,10%,15%,0%,Highschool,48
Special Education Classroom Aide,10%,40%,20%,30%,0%,Associates,61
Special Education Curriculum Specialist,30%,20%,30%,20%,10%,Masters,61
Special Education Instructional Assistant,10%,40%,20%,30%,0%,Associates,61
Special Education Paraeducator,20%,30%,20%,30%,0%,Associates,61
Special Education Paraprofessional,20%,40%,20%,80%,10%,Associates,61
Special Education Preschool Teacher,20%,30%,25%,25%,0%,Bachelors,61
Special Education Professor,30%,20%,30%,20%,10%,PhD,61
Special Education Teacher for Adults with Disabilities,20%,30%,25%,60%,10%,Bachelors,61
Special education teachers,20%,30%,25%,60%,10%,Masters,61
Special Education Teaching Assistant,10%,40%,20%,30%,0%,Associates,61
Special Effects Artist,80%,20%,60%,20%,10%,Bachelors,71
Special effects artists and animators,80%,20%,60%,20%,10%,Bachelors,51
Specialty Cook,5%,60%,20%,10%,5%,Professional Certificate,72
Specifications Writer,70%,20%,60%,30%,10%,Bachelors,54
Speech-language pathologists,20%,30%,30%,70%,10%,Masters,62
Speech and Hearing Therapy Director,20%,20%,30%,20%,10%,Masters,62
Speech and Language Specialist,10%,20%,40%,30%,0%,Masters,62
Speech Clinician,10%,20%,40%,30%,0%,Masters,62
Speech Pathologist,20%,30%,30%,70%,10%,Masters,62
Speech Professor,20%,10%,40%,30%,10%,PhD,61
Speech Therapist,10%,30%,40%,20%,0%,Masters,62
Speed Belt Sander,5%,70%,10%,5%,10%,Highschool,31
Speedboat Driver,5%,60%,20%,15%,0%,Highschool,71
Speedboat Operator,5%,70%,10%,15%,0%,Highschool,71
Spike Machine Feeder,5%,80%,5%,5%,5%,Highschool,31
Spike Machine Operator,5%,70%,10%,10%,5%,Highschool,23
Spinning Doffer,5%,80%,5%,5%,5%,Highschool,31
Spooler Operator,10%,70%,10%,5%,5%,Highschool,31
Sports Attorney,30%,20%,30%,20%,10%,Professional Certificate,54
Sports Book Board Attendant,30%,50%,10%,10%,0%,Highschool,71
Sportsbook Ticket Writer,30%,50%,10%,10%,0%,Highschool,71
Sports Cartoonist,70%,10%,15%,5%,0%,Bachelors,51
Sports Editor,70%,20%,60%,40%,20%,Bachelors,51
Sports Nutritionist,20%,20%,30%,30%,10%,Bachelors,62
Sports Physical Therapist,10%,30%,30%,30%,10%,Doctorate,62
Sports Psychologist,20%,10%,40%,30%,10%,PhD,62
Spotlight Operator,10%,60%,20%,10%,0%,Highschool,71
Spraying Machine Operator,5%,80%,5%,5%,5%,Highschool,31
Sprinkler Fitter,5%,70%,10%,10%,5%,Professional Certificate,23
Sprinkler Fitter Helper,5%,70%,10%,15%,0%,Highschool,23
Stacker Operator,10%,70%,5%,5%,10%,Highschool,31
Stadium Manager,30%,20%,20%,20%,10%,Bachelors,71
Staff Anesthetist,5%,40%,40%,10%,5%,Doctorate,62
Staffing Coordinator,40%,30%,10%,20%,10%,Bachelors,56
Staff Psychiatrist,20%,20%,40%,20%,0%,Doctorate,62
Stagecraft Professor,20%,20%,40%,20%,10%,Masters,61
Stage Electrician,20%,40%,20%,10%,10%,Professional Certificate,71
Stage Electrician Helper,10%,60%,10%,15%,5%,Highschool,71
Stage Manager,20%,30%,20%,20%,10%,Bachelors,71
Stained Glass Artist,10%,40%,40%,5%,5%,Professional Certificate,71
Stained Glass Glazier,5%,40%,40%,10%,5%,Professional Certificate,23
Stained Glass Glazier Helper,5%,60%,20%,10%,5%,Highschool,23
Stained Glass Installer,10%,40%,30%,10%,10%,Professional Certificate,23
Stained Glass Joiner,5%,60%,25%,5%,5%,Professional Certificate,23
Stallion Manager,10%,40%,20%,20%,10%,Associates,11
Standardized Test Tutor,20%,40%,30%,10%,0%,Bachelors,61
State Archivist,40%,20%,25%,10%,5%,Masters,51
State Highway Police Officer,10%,40%,20%,30%,0%,Highschool,92
Statement Clerk,70%,20%,5%,5%,0%,Highschool,52
Statement Distribution Clerk,70%,90%,10%,20%,5%,Highschool,52
Statement Processor,70%,20%,5%,5%,0%,Highschool,52
State Trooper,10%,40%,20%,30%,5%,Highschool,92
Stationary engineers and boiler operators,10%,60%,20%,10%,5%,Professional Certificate,22
Statistical Analyst,80%,50%,70%,20%,10%,Masters,54
Statistical Methods Professor,30%,20%,40%,10%,0%,PhD,61
Statistical Reporting Analyst,70%,20%,70%,10%,5%,Bachelors,54
Statistics Professor,30%,20%,40%,10%,0%,PhD,61
Stave Saw Operator,5%,70%,15%,5%,5%,Highschool,32
Steam and Power Panel Operator,10%,60%,20%,5%,5%,Highschool,22
Steamfitter,5%,60%,20%,10%,5%,Professional Certificate,23
Steam Plant Control Room Operator,30%,40%,20%,5%,5%,Associates,22
Steam Shovel Operating Engineer,5%,70%,15%,5%,5%,Highschool,23
Steam Shovel Operator,5%,80%,5%,5%,5%,Highschool,23
Steam Turbine Assembler,5%,60%,20%,10%,5%,Highschool,31
Steel Fabricator,10%,60%,10%,10%,10%,Highschool,33
Steel Fitter,5%,70%,10%,10%,5%,Highschool,33
Steel Pourer,5%,70%,10%,10%,5%,Highschool,33
Steel Rod Buster,5%,70%,10%,10%,5%,Highschool,23
Steel Roller,5%,70%,10%,10%,5%,Highschool,33
Steel Tier,5%,70%,10%,10%,5%,Highschool,23
Stellar Astronomer,40%,20%,30%,5%,5%,PhD,54
Stenocaptioner,70%,20%,10%,0%,0%,Professional Certificate,51
Stock Broker,40%,30%,20%,10%,10%,Bachelors,52
Stockroom Attendant,10%,70%,10%,10%,0%,Highschool,44
Stockroom Clerk,20%,60%,10%,10%,0%,Highschool,44
Stock Trader,70%,20%,70%,30%,20%,Bachelors,52
Stoker Installer,5%,60%,20%,10%,5%,Highschool,23
Stone Chimney Mason,5%,70%,15%,10%,0%,Professional Certificate,23
Stone Layer,5%,70%,10%,10%,5%,None,23
Store Detective,10%,40%,30%,20%,0%,Highschool,45
Store Receiving Clerk,20%,60%,10%,10%,0%,Highschool,44
Store Stocker,5%,70%,10%,10%,5%,Highschool,44
Storm Chaser,20%,30%,40%,10%,0%,Bachelors,54
Stratigrapher,30%,20%,40%,10%,0%,Masters,21
Streetcar Repairer,5%,60%,20%,10%,5%,Professional Certificate,48
Structural Architect,30%,20%,40%,10%,20%,Masters,54
Structural Drafter,70%,60%,40%,20%,10%,Associates,54
Structural Engineer,30%,20%,40%,5%,5%,Bachelors,54
Structural Engineering Technician,40%,30%,20%,5%,5%,Associates,54
Structural Steel Erector,5%,70%,15%,10%,0%,Highschool,23
Student Admissions Clerk,60%,30%,5%,40%,5%,Associates,61
Student Advisor,30%,20%,20%,30%,10%,Bachelors,61
Student Development Advisor,40%,20%,20%,60%,10%,Masters,61
Student Loan Correspondent,40%,30%,20%,10%,0%,Bachelors,52
Student Recruiter,30%,30%,20%,70%,10%,Bachelors,61
Student Services Counselor,30%,20%,25%,25%,10%,Bachelors,61
Student Success Counselor,40%,20%,20%,60%,10%,Masters,61
Studio Model,10%,40%,20%,30%,0%,None,71
Study Abroad Advisor,40%,30%,20%,60%,10%,Bachelors,61
Sub Arc Operator,5%,70%,10%,5%,10%,Highschool,33
Subscription Clerk,60%,30%,5%,5%,0%,Highschool,51
"Substance abuse, behavioral disorder, and mental health counselors",10%,20%,40%,30%,10%,Masters,62
Substance Abuse Counselor,20%,30%,30%,70%,10%,Masters,62
Substation Electrician,10%,60%,20%,5%,5%,Professional Certificate,22
Substation Mechanic,10%,60%,20%,5%,5%,Associates,22
Substation Operator,20%,40%,20%,10%,10%,Associates,22
Subway Car Repairer,10%,60%,20%,5%,5%,Professional Certificate,48
Sugarcane Research Technician,20%,40%,30%,10%,0%,Bachelors,11
Summer Associate,30%,20%,25%,15%,10%,Bachelors,54
Sunday School Teacher Aide,10%,40%,20%,30%,0%,Highschool,61
Supply Clerk,30%,50%,10%,10%,0%,Highschool,42
Supply Room Clerk,30%,50%,10%,10%,0%,Highschool,42
Surface Hydrologist,40%,20%,30%,5%,5%,Masters,54
Surgical Appliance Fitter,10%,40%,20%,30%,0%,Professional Certificate,62
Surgical assistants and technologists,10%,60%,20%,70%,10%,Professional Certificate,62
Surgical Dental Assistant,20%,40%,20%,20%,0%,Professional Certificate,62
Surgical First Assistant,5%,40%,30%,25%,0%,Professional Certificate,62
Surgical Instrument Mechanic,10%,60%,20%,5%,5%,Professional Certificate,62
Surgical Instruments Sales Representative,20%,30%,20%,30%,10%,Bachelors,42
Surgical Nurse Practitioner,20%,30%,25%,20%,5%,Masters,62
Surgical Oncologist,10%,20%,40%,30%,10%,Doctorate,62
Surgical Orderly,5%,70%,10%,15%,0%,Highschool,62
Surgical Scrub Technologist,10%,60%,20%,10%,0%,Professional Certificate,62
Surveying and mapping technicians,40%,30%,20%,5%,5%,Associates,54
Surveying Technician,40%,30%,20%,5%,5%,Associates,54
Survey Interviewer,20%,60%,10%,70%,5%,Highschool,54
Survey Methodologist,70%,10%,60%,30%,20%,Masters,54
Surveyors,20%,40%,20%,10%,10%,Bachelors,54
Survey Questionnaire Designer,70%,20%,70%,20%,10%,Bachelors,54
Survey researchers,40%,30%,20%,10%,0%,Masters,54
Survey Research Professor,40%,20%,30%,10%,10%,PhD,61
Survey Statistician,70%,20%,70%,20%,10%,Masters,54
Sushi Chef,5%,70%,20%,5%,0%,Professional Certificate,72
Swager Operator,5%,70%,10%,10%,5%,Highschool,33
Swaging Machine Operator,5%,70%,10%,5%,10%,Highschool,33
Sweater Designer,30%,20%,40%,10%,0%,Bachelors,31
Swedish Masseuse,5%,70%,10%,15%,0%,Professional Certificate,81
Swimming Pool Plasterer Helper,5%,70%,10%,15%,0%,None,23
Swimming Professor,10%,30%,20%,40%,10%,Bachelors,61
Swine Genetics Researcher,20%,20%,40%,10%,10%,PhD,11
Switchboard Wirer,10%,70%,10%,5%,5%,Highschool,23
Switchbox Assembler,10%,70%,10%,5%,5%,Highschool,33
Switch Coupler,5%,70%,10%,10%,5%,Highschool,48
Synchronous Motor Assembler,10%,70%,10%,5%,5%,Highschool,33
System Safety Engineer,60%,20%,70%,30%,20%,Bachelors,54
Systems Architect,70%,10%,60%,30%,20%,Bachelors,54
Systems Programmer,80%,10%,70%,20%,10%,Bachelors,54
Systems Software Designer,80%,10%,70%,20%,10%,Bachelors,54
Systems Software Developer,90%,30%,60%,20%,10%,Bachelors,54
Systems Software Specialist,80%,10%,70%,20%,10%,Bachelors,54
Table Games Dealer,5%,70%,10%,15%,0%,Highschool,71
Table Games Manager,20%,30%,20%,20%,10%,Associates,71
Table Games Supervisor,10%,40%,20%,20%,10%,Highschool,71
Tactical Vehicle Painter,5%,70%,15%,10%,0%,Highschool,33
Taffy Puller,5%,80%,5%,10%,0%,None,31
Talk Show Host,20%,20%,30%,30%,10%,Bachelors,51
Tank Car Reconditioner,5%,60%,20%,10%,5%,Highschool,33
Tanker Driver,5%,70%,10%,10%,5%,Highschool,48
Tap Dancer,5%,40%,30%,25%,0%,Professional Certificate,71
Tape Editor,80%,50%,40%,10%,5%,Associates,51
Taproom Attendant,10%,60%,10%,20%,5%,Highschool,72
Tattoo Artist,10%,30%,40%,20%,0%,Professional Certificate,81
Tavern Operator,10%,40%,20%,20%,10%,Highschool,72
Tax Accountant,70%,60%,50%,20%,10%,Bachelors,54
Tax Attorney,40%,20%,30%,10%,10%,Professional Certificate,54
Tax Clerk,70%,60%,30%,20%,10%,Associates,54
Tax Compliance Officer,40%,30%,20%,10%,10%,Bachelors,52
Tax Compliance Representative,40%,30%,20%,10%,0%,Bachelors,54
Tax Economist,40%,30%,70%,40%,20%,Masters,52
Tax Examiner,40%,40%,10%,5%,5%,Bachelors,52
"Tax examiners and collectors, and revenue agents",40%,40%,10%,5%,5%,Bachelors,52
"Taxi drivers, shuttle drivers, and chauffeurs",10%,70%,5%,15%,0%,Highschool,48
Tax Investigator,40%,30%,20%,10%,0%,Bachelors,52
Tax Revenue Officer,40%,30%,20%,10%,10%,Bachelors,92
Teacher assistants,10%,40%,20%,30%,0%,Associates,61
Team Assembly Line Machine Operator,10%,70%,5%,10%,5%,Highschool,31
Team Automobile Assembler,10%,70%,10%,5%,5%,Highschool,33
Tearoom Host/Hostess,10%,60%,10%,20%,5%,Highschool,72
Tearoom Hostess,5%,60%,10%,25%,0%,Highschool,72
Technical Communicator,70%,10%,50%,40%,10%,Bachelors,54
Technical Editor,70%,20%,60%,30%,10%,Bachelors,51
Technical Services Librarian,70%,10%,10%,5%,5%,Masters,51
Technical writers,70%,20%,70%,30%,10%,Bachelors,51
Telecasting Engineer,70%,20%,40%,30%,10%,Bachelors,51
Telecommunication Engineer,70%,20%,60%,30%,20%,Bachelors,54
Telecommunication Lines Repairer,20%,60%,10%,5%,5%,Highschool,23
Telecommunications Line Installer,20%,60%,10%,10%,5%,Highschool,23
Telecommunications Switch Technician,70%,20%,5%,5%,0%,Associates,54
Telecommunications technicians,40%,40%,10%,5%,5%,Associates,54
Telephone Cable Splicer,10%,60%,20%,5%,5%,Highschool,23
Telephone Interviewer,30%,60%,10%,70%,5%,Highschool,56
Telephone Lines Repairer,20%,60%,10%,5%,5%,Highschool,22
Telephone Lineworker,10%,60%,20%,10%,0%,Highschool,22
Television Audio Engineer,70%,20%,40%,30%,10%,Associates,51
Television Camera Operator,30%,40%,20%,10%,0%,Associates,51
Television Host,30%,20%,25%,25%,10%,Bachelors,51
Television Newscast Director,40%,20%,20%,10%,10%,Bachelors,51
Television News Producer,40%,20%,20%,10%,10%,Bachelors,51
Television News Video Editor,80%,50%,40%,20%,10%,Bachelors,51
Television Producer,40%,20%,20%,10%,10%,Bachelors,51
Television Program Director,40%,10%,30%,10%,10%,Bachelors,51
Television Store Manager,30%,40%,10%,20%,50%,Associates,44
Television Writer,40%,20%,30%,10%,0%,Bachelors,51
Tellers,20%,60%,10%,50%,5%,Highschool,52
Tennis Club Manager,30%,20%,20%,20%,10%,Bachelors,71
Tennis Coach,10%,40%,20%,30%,10%,Professional Certificate,71
Tenon Operator,5%,70%,10%,5%,10%,Highschool,31
Tenor,5%,20%,40%,35%,0%,Professional Certificate,71
Termite Technician,10%,70%,10%,10%,0%,Highschool,56
Termite Treater,5%,70%,10%,10%,5%,Highschool,56
Terra Cotta Roofer,5%,70%,15%,10%,5%,Highschool,23
Terra Cotta Roofer Helper,5%,70%,10%,10%,5%,Highschool,23
Terrazzo Finisher,5%,70%,15%,10%,0%,Professional Certificate,23
Terrazzo Finisher Helper,5%,70%,10%,10%,5%,None,23
Terrazzo Grinder,5%,80%,10%,5%,0%,Highschool,23
Terrazzo Installer,5%,70%,15%,10%,0%,Professional Certificate,23
Terrazzo Layer,5%,70%,15%,10%,5%,Professional Certificate,23
Terrazzo Layer Helper,5%,70%,10%,10%,5%,None,23
Terrazzo Setter,5%,70%,15%,10%,0%,Professional Certificate,23
Terrazzo Worker,5%,70%,15%,10%,0%,Professional Certificate,23
Terrazzo Worker Helper,5%,70%,10%,15%,0%,None,23
Territory Sales Manager,30%,20%,25%,40%,35%,Bachelors,42
Textile Conservator,20%,30%,40%,10%,5%,Masters,71
Textile Designer,40%,30%,20%,5%,5%,Bachelors,31
Theater Company Producer,30%,20%,30%,20%,50%,Bachelors,71
Theatre Professor,10%,20%,40%,30%,10%,PhD,61
Theme Park Manager,30%,20%,20%,20%,10%,Bachelors,71
Theology Professor,20%,20%,40%,20%,10%,PhD,61
Theoretical Astronomer,40%,10%,40%,5%,5%,PhD,54
